Date,Platform,Daily Active Users (DAU),New Registrations,Session Duration (minutes),In-game Purchases ($),Social Media Mentions,Stream Viewership,Revenue ($),Top Genre,Influencer Endorsements
2024-10-18,Console,167831,16783,32.48477891931682,44901.89070248594,8376,47773.00475334872,43133.23329346727,Simulation,2
2022-10-29,VR,148008,14800,49.74638741126697,44014.97243862854,7419,90092.15488928386,60819.74310449325,RPG,0
2023-08-02,Console,155583,15558,58.0001722170184,54522.09185183727,7709,67560.42581084486,63050.98633511367,Simulation,0
2024-10-10,PC,167874,16787,57.1416372220555,59917.69381448162,8127,61094.31134182189,65059.51602593892,FPS,0
2019-07-17,Mobile,115716,11571,43.14792934547518,54296.75025983853,5759,69722.40132075366,58460.23822562219,FPS,0
2021-03-06,PC,131505,13150,31.5671538376998,51660.02540197842,6631,89785.20824782505,62149.30179178479,FPS,0
2024-06-29,Mobile,165226,16522,60.06786419950107,54178.15528355054,8329,95170.00201436039,44621.06077930359,RPG,0
2021-05-21,VR,133828,13382,57.57949249148164,47488.86175127001,6657,79107.48917963746,52397.37048796226,Simulation,2
2024-10-16,PC,168059,16805,47.01651433877022,73957.10551624896,8375,34791.0296469407,105005.3345910402,Action,0
2019-05-06,VR,113195,11319,42.84032791149079,24817.8536886517,5731,56372.27655607471,19973.93556097055,Simulation,0
2023-08-23,VR,156435,15643,51.14126618820227,39456.82798903507,7741,42007.13812151871,34546.7963556113,Adventure,0
2022-07-06,Console,144874,14487,60.15213880198672,31327.88228254776,7248,32113.86760298894,41055.4681201595,Simulation,0
2024-01-21,VR,160737,16073,45.40673461290771,23359.88420513458,8171,87540.5560625532,17268.97633612556,Adventure,0
2018-03-22,Mobile,102612,10261,75.44280840414665,30692.87764684696,5112,38232.54209782751,26528.2240545622,Simulation,0
2019-11-01,Console,118183,11818,40.60977252111785,49647.27306132422,5886,55122.24011548223,30826.97093542587,RPG,0
2021-03-02,Mobile,131833,13183,64.62547235608233,14218.10609054906,6651,70566.25436477306,16955.98349549936,FPS,0
2021-05-22,Mobile,134096,13409,33.37329930111236,46211.28081258279,6745,42881.30742185647,23260.76144288838,FPS,0
2023-09-14,PC,157147,15714,62.25538475706669,73394.80326467096,7826,78499.32047262638,66078.62371192747,FPS,0
2020-04-14,Mobile,122855,12285,44.00003905639966,39951.84621500172,6166,69074.22059443747,43071.47770281473,Simulation,0
2021-10-29,Mobile,137693,13769,51.76078816113033,55036.80047765106,6846,69943.09612616696,76731.55619660688,Simulation,4
2018-03-04,VR,102053,10205,46.78075510187195,37270.20572043177,5080,59139.24467489098,39813.31742317878,FPS,0
2020-09-20,Mobile,128155,12815,61.47092280205855,33580.36126692063,6312,39598.12479479342,19383.36810785362,RPG,0
2022-07-16,Console,145614,14561,57.42068399281452,29262.60567424496,7307,57769.52160317223,23759.74075429305,Adventure,0
2021-10-18,VR,138426,13842,70.25097766420143,56305.77204237694,6836,57001.43389772148,31750.37884414779,Adventure,0
2018-01-09,VR,100278,10027,51.90135056208432,17994.57340457789,5127,47162.18199274981,22940.19632250904,Adventure,0
2023-09-22,Console,157284,15728,41.48790635279747,57586.07867537476,7669,83199.95328275253,71314.82675263933,Action,2
2019-01-14,Mobile,110446,11044,40.36506518574269,53783.65116996469,5396,24946.26354516509,57394.57261175734,FPS,0
2024-05-18,Mobile,164393,16439,39.63797790824583,79984.70252228888,7987,77807.40021832207,86370.39102480955,Action,0
2018-01-10,VR,100830,10083,73.13067201009925,13832.75096675363,4949,31644.84752465605,17373.00848573923,Simulation,0
2021-04-19,VR,132967,13296,39.97599091991476,28268.71191119214,6681,42793.01301656876,41211.59156145369,Adventure,0
2020-05-16,Mobile,123834,12383,59.28794220198775,44729.72657707486,6054,81138.03705500775,47950.61424257926,Adventure,0
2019-03-17,PC,112382,11238,33.63516281475157,18219.84456759242,5591,41083.30984060788,10913.22522365187,Action,0
2019-07-31,PC,115359,11535,39.15968202901093,23791.33753927721,5745,54655.02506672032,22198.28156869092,Simulation,0
2020-07-19,VR,125226,12522,73.6339112865216,41435.0613744595,6359,33558.89265286387,54688.12753523704,Adventure,0
2023-09-03,PC,157190,15719,63.03139288703674,33992.35601728369,7826,78911.62182060296,36547.47159106516,FPS,0
2021-06-02,Mobile,134735,13473,30.15650636849852,17263.26636134709,6646,30206.77751132649,9333.074742695804,Action,0
2023-07-25,VR,155678,15567,56.61484669911402,65077.47773404242,7702,65958.08800840499,33677.02041987797,RPG,0
2020-01-29,PC,120805,12080,37.7757019539815,39121.03320178298,5972,63527.7259193524,55216.95366577651,Action,0
2023-06-08,Console,154861,15486,53.61721860562789,65264.16477966854,7648,57598.19933445549,58772.87260607614,FPS,0
2020-01-30,VR,120681,12068,61.27338707722044,21962.81993748069,6020,83976.09477569131,31756.34282927525,Action,0
2024-08-10,VR,166365,16636,36.87591841096373,64758.19329064139,8478,80849.61034367769,65428.76240750339,Adventure,0
2019-09-29,Mobile,117514,11751,43.67252244713683,25128.67162709383,5859,77905.28147826597,18980.22330095423,FPS,0
2019-10-11,PC,117667,11766,42.8902966676054,56886.27497717557,6012,31747.62182860094,40852.70168202503,RPG,3
2018-10-25,PC,108282,10828,50.78380968643818,45509.70199768847,5314,29049.17042921915,29807.83567196503,Action,0
2023-06-15,Console,154847,15484,41.82970543500093,58440.67419797353,7851,50995.6466417989,69107.59435815603,FPS,0
2022-02-28,Mobile,141076,14107,40.94551442397801,70019.53401439934,7281,56231.75430586276,43442.92349929842,FPS,0
2018-01-27,VR,100144,10014,34.02055840462756,38689.94812007085,5100,42554.93674637323,54516.74013978853,Action,0
2018-11-25,VR,109247,10924,71.14184959107882,23105.43057636292,5481,53058.41618544186,26004.82382707367,Simulation,0
2023-08-09,VR,156890,15689,52.4830611961793,50857.51392500586,7873,34539.97152249063,39439.63642324466,FPS,0
2019-11-20,Mobile,118567,11856,57.66968801999052,17541.01416798577,5956,57531.937695849,20800.08335809309,Simulation,0
2024-09-04,Mobile,166686,16668,45.5878590963661,30146.45921691049,8320,80754.93722575223,27111.88147108946,FPS,0
2022-04-07,VR,142796,14279,31.43898009401654,34567.3046702898,7103,34493.28730275259,43134.47552305342,Action,0
2019-12-21,PC,119207,11920,64.55281927510843,28888.95493053658,6057,24356.93524711428,22135.04186373696,Simulation,0
2021-08-23,VR,136532,13653,60.82927038935204,36084.34451945869,6695,45806.24665653081,45891.93707313549,Action,0
2018-07-19,VR,105557,10555,45.20435078540505,26538.48447332433,5327,44796.95206731607,25523.30981737178,RPG,0
2020-06-11,Console,124336,12433,67.09529437677746,21286.56526733916,6270,76014.8997886945,23625.71390290682,FPS,0
2019-12-25,Console,120376,12037,55.83895333750333,25437.04996265225,6003,58488.41423330064,31037.13490894943,Action,0
2020-01-02,VR,119708,11970,63.43683820424986,34716.00218801863,6156,46732.36943764309,18927.06194891041,FPS,0
2023-08-07,Console,156344,15634,41.98374231712702,15866.51175500802,7865,39579.9180018514,19901.16823691129,Action,0
2018-08-31,VR,106735,10673,48.42175727075384,34845.75063425913,5239,23424.35464781423,30099.96954651724,RPG,0
2022-07-30,VR,145694,14569,45.97670094958698,49289.25643108995,7212,96698.27278236921,37491.33016094721,Adventure,0
2023-11-14,VR,159276,15927,53.58084538397947,33237.11439738592,7999,111334.5831609569,35317.32396754229,FPS,0
2019-05-21,PC,113471,11347,34.63299354304841,44801.02691303849,5600,66978.93550808317,53434.31253406594,Action,0
2024-03-13,Console,161813,16181,55.4428353971297,28442.48105648951,8091,82986.2836139544,25580.59216527142,Adventure,0
2018-08-27,PC,106508,10650,37.73705799718304,25106.69637253609,5289,63805.13601551195,21671.7114624209,RPG,0
2021-09-01,VR,137413,13741,67.65023412233508,14402.72520147399,6692,30784.3144511403,11396.12568720606,Simulation,0
2020-08-22,Mobile,126503,12650,52.16408508865851,50095.64987379517,6503,60691.86265663597,41408.45698374001,Adventure,0
2022-01-05,Mobile,139835,13983,29.0998593360713,16292.86961801636,7057,48773.55120436563,18891.65618230844,Action,0
2020-02-26,Mobile,121750,12175,44.56346140191682,25869.95452491125,6011,42512.86383607544,38154.92075936864,Simulation,0
2020-04-06,Mobile,122564,12256,41.25231539442451,42597.48331998748,6063,82751.7510851566,57424.4624048847,RPG,0
2020-01-22,Console,120674,12067,67.06289743419833,27429.0200042758,5986,60787.63737190171,19917.90318020322,Simulation,0
2024-02-29,Mobile,161421,16142,63.98653547826553,23477.59152552568,8094,94755.24712423836,34100.78231061873,FPS,0
2023-04-27,Console,153445,15344,48.00650014186451,51352.79562400056,7684,71523.80215586093,57504.64566037799,Adventure,0
2023-02-03,Console,150440,15044,36.03221028296189,73993.25803562377,7495,99692.6784282974,64462.25752427886,Action,1
2023-06-09,Console,154090,15409,58.90728531545877,36346.51207855118,7729,34411.32899278162,26753.32123199052,Adventure,2
2024-04-28,Console,162763,16276,39.95503184167762,24224.01449973594,8005,38667.57168994032,31993.38695938965,Action,0
2018-09-22,PC,106956,10695,48.71866629117939,21783.8153516725,5439,27969.2164718105,17083.82800332947,Simulation,0
2020-02-28,Console,121737,12173,57.50249425488347,51749.63955862739,6146,69691.291109728,53830.94610161532,Simulation,6
2020-08-04,VR,126713,12671,58.14911381464055,35994.86568180808,6330,60435.07399500906,46020.112724657,Simulation,0
2024-04-16,Mobile,162923,16292,31.40204703127224,38284.63645037081,8176,80749.78698695563,28888.35165889449,Simulation,0
2023-05-11,Mobile,153027,15302,53.30868071479277,69328.26697359033,7556,78978.02059237803,67598.93001314934,RPG,0
2023-02-28,VR,151991,15199,42.75875735792533,22813.57218081494,7766,84150.25906711398,32331.74729450245,Adventure,0
2022-12-13,VR,148937,14893,70.95758637459411,60321.15059199904,7493,46005.80286974329,60233.08459851868,FPS,0
2018-07-11,PC,104928,10492,51.14067030443514,24294.92618280668,5213,62663.88186664382,20142.19134156645,FPS,0
2021-06-08,VR,134487,13448,47.89143046725816,66611.27658257865,6799,69246.20276016949,96426.20606163623,RPG,0
2021-05-10,VR,133974,13397,61.29420657330825,29919.02444818357,6593,80878.49357575206,42289.8645884973,RPG,0
2023-07-17,Mobile,155642,15564,48.09579401028707,41983.36056352373,7877,39169.9249513031,59066.66692973946,Action,0
2022-09-07,VR,146739,14673,53.61475699904774,44184.97802891548,7298,36713.40687327783,25056.97239497202,FPS,0
2019-06-26,Mobile,114870,11487,55.08028933431099,28641.80016079589,5731,30752.8712916278,19890.47718675152,Action,0
2019-04-11,Console,112854,11285,68.59419554654194,19218.15636883975,5671,43997.63983807091,18784.09508573969,Adventure,0
2023-05-17,Console,154188,15418,68.9773837050794,31348.05943850291,7707,42988.12217798681,25359.96860141249,Simulation,0
2024-03-30,VR,162338,16233,34.79377931140232,58146.08892343409,8293,109807.3425490273,80848.23866691049,Adventure,0
2019-08-09,PC,116183,11618,34.58082798311332,18798.03881720163,5925,60550.9919179733,17670.84257659269,Action,0
2021-10-13,VR,138431,13843,74.34852677492606,33724.94322800871,6877,60474.66795813684,36564.61524841869,Action,0
2022-08-13,VR,146560,14656,55.79369044664963,53946.75833817149,7288,98660.04090526619,29871.27266866379,RPG,0
2020-09-27,VR,128029,12802,60.1390035673779,39268.32434022406,6360,30587.62556605428,50072.48742989349,Action,0
2018-10-08,VR,107369,10736,38.45180451552536,29309.23331997344,5284,46809.04425262486,24351.47661022871,Simulation,0
2023-12-18,Mobile,158971,15897,56.22432006678451,50798.4874006978,8039,55090.59511118231,59162.49429698907,FPS,0
2020-10-09,Mobile,128309,12830,51.50772721926988,54611.09759925161,6363,33810.95203037503,80879.40247501581,Simulation,0
2023-03-26,PC,152799,15279,48.58284441565256,51982.51817627154,7614,92025.68848508663,59943.53555102098,Simulation,0
2018-07-11,Mobile,104671,10467,51.51305544394783,28249.52201854533,5250,50517.74070751154,14167.76679413897,RPG,0
2019-08-10,PC,116075,11607,27.77670685713696,56707.19635307422,5743,35879.62715840526,54985.59853368942,Action,0
2020-10-14,VR,128066,12806,43.26908608320164,27780.95590704172,6242,66923.1001911622,29844.741528086,RPG,0
2022-12-10,PC,149755,14975,37.8297632014592,29623.25723638073,7446,43841.14322286347,18753.96177943468,Action,0
2020-11-20,PC,128612,12861,22.63388640318155,19372.99943008399,6528,86776.74502664797,25737.61624917394,Adventure,2
2023-06-12,PC,154458,15445,45.98909021680284,39716.27814354026,7597,59904.87667496029,30968.66743938057,RPG,0
2022-02-01,Console,140640,14064,46.1898457735639,43233.77591717998,7058,72792.99730995495,31256.24435092831,RPG,0
2020-04-17,Console,122787,12278,38.68040237031783,53126.45080424311,6186,37025.65921432219,41989.43031113064,Adventure,2
2021-03-19,VR,133143,13314,70.17486668516233,57273.04771968177,6604,55475.04662301986,45059.50886788084,FPS,2
2020-04-29,VR,123349,12334,48.00637302832683,40696.92655644896,6205,37289.12284165283,57919.22070396382,RPG,0
2020-10-17,Mobile,127463,12746,55.7042149755622,63316.47229643776,6398,82019.2844003085,61563.25190116153,Simulation,0
2024-04-06,Mobile,162646,16264,23.88633120852757,51249.28190179776,8093,85817.8109697599,53770.63196799116,Adventure,0
2018-11-03,PC,108329,10832,18.43520109556498,41241.5685484877,5371,52498.2858973983,30924.56259717825,Simulation,0
2022-04-23,PC,143138,14313,54.53554301263329,32227.27468524437,7085,32225.82891177508,47542.89419192363,RPG,0
2020-02-20,Console,121347,12134,53.57760647093215,36747.51781802131,6064,82232.88112274927,26270.01593432306,RPG,0
2018-05-08,Console,103408,10340,58.36553673975811,44047.7600875042,5110,28103.3729383159,62221.93420804873,Adventure,0
2021-12-19,Console,139492,13949,41.05890138446978,14763.66090022118,7057,64836.61864112844,19697.75304171853,Action,0
2023-08-08,Mobile,156198,15619,52.97530518192782,71416.060027425,7860,61335.44817108014,58544.12907879549,FPS,0
2024-06-12,Mobile,163993,16399,42.18226382587272,17807.81593342826,8168,65202.85153271524,10686.72559742818,RPG,0
2018-01-25,PC,100625,10062,48.68430205470987,34467.16461946361,5035,67724.90731488461,26150.53268143667,RPG,0
2022-07-29,Mobile,145812,14581,32.52734616563492,33964.01099534948,7228,34530.53798167908,41056.1243828979,RPG,1
2019-01-14,PC,109958,10995,33.4408151333153,33517.28276651075,5634,37960.78311208916,48398.2334345594,RPG,0
2024-01-07,VR,160309,16030,35.09354362799813,57894.72359607873,8071,76242.69858519678,41070.13630207629,FPS,0
2018-01-30,VR,100629,10062,60.54945006763611,42901.30647215286,5152,60996.52984205115,22109.57250233839,Adventure,0
2023-05-02,VR,153394,15339,48.52019587523143,56302.83571409662,7566,36479.11513263695,67488.34097136669,Action,0
2022-06-18,Mobile,144690,14469,25.12974137654846,48562.92291949761,7236,93212.04434549372,51899.11730446765,Adventure,0
2018-01-09,Mobile,100527,10052,43.69208323559877,46969.72498703199,5018,26691.40777003476,49943.07658292675,RPG,0
2023-05-26,VR,153888,15388,47.40614226863579,43167.08430677113,7834,35300.19619796534,34840.51943998387,FPS,2
2022-09-04,Console,146535,14653,55.10992733240494,66624.15287623854,7349,99585.49004555648,95322.19229881998,RPG,0
2021-09-17,Mobile,136955,13695,41.92560836876451,43592.64488403851,6857,32298.3153422218,31292.34524826623,Simulation,2
2018-09-25,PC,106529,10652,48.95724726469307,22221.15456973368,5406,43195.26515421675,32198.87314390025,RPG,0
2018-12-03,VR,109571,10957,45.56452650494556,26064.920800776,5420,64300.27998981582,33588.22035941657,Action,0
2021-04-01,VR,132945,13294,62.34741104002343,39874.43850269546,6745,68104.95074983688,24692.26330907755,Action,0
2022-02-10,Mobile,140955,14095,35.35256886984956,18126.09790697988,7075,60397.74132348735,23558.3933042971,FPS,0
2022-02-18,VR,140672,14067,66.95335890549164,58042.89263668749,7054,48525.0730325062,63044.74663579579,RPG,1
2020-08-12,Mobile,126397,12639,36.77817899227703,20856.08915143794,6269,80966.82179533968,24269.1223739547,Action,0
2023-10-13,Console,158205,15820,32.30388942890222,35487.59542774957,7852,46268.17327624248,43442.55604481905,Simulation,1
2021-08-10,Mobile,136042,13604,47.20876547404556,61049.97912140682,6968,57403.36416569437,54759.03586701981,RPG,0
2022-09-21,Mobile,146488,14648,62.4656489574002,21589.20637053999,7444,49827.7728787731,11283.55974462776,Action,0
2021-08-20,Mobile,135691,13569,67.05119663967564,28397.60935613121,6819,78386.11794198905,42474.59869033722,FPS,1
2018-01-08,VR,100025,10002,45.78165233289437,12915.31274430687,4949,43828.02073999444,10820.12630116807,Action,0
2021-11-19,Console,138166,13816,57.21750283053507,14458.60279632241,6863,57724.17554416542,13996.6818253876,Simulation,4
2021-01-01,Console,130654,13065,52.06858221549459,52000.43862174102,6531,30881.899106187,33481.88343462879,Action,1
2018-01-08,Mobile,100104,10010,32.7622680346712,16567.26443690242,5028,44418.90956893175,10520.50788229296,Adventure,0
2020-11-16,Console,128543,12854,37.24547859745012,13439.08968486908,6511,33655.27639531382,17594.66159127048,Adventure,0
2023-02-20,VR,151148,15114,53.38799253209546,15583.66896990173,7543,68045.80513162476,15884.34118762594,Adventure,0
2018-07-03,VR,105251,10525,60.52105330395452,10839.8238305711,5361,50322.74889440238,7770.722594556771,Action,0
2019-06-01,VR,114039,11403,59.42291788497044,50127.67477121697,5807,35130.59897312237,51548.8284684791,Simulation,0
2018-01-27,Console,100466,10046,74.2471925064128,12082.53324855178,5032,27973.15176620698,7642.601998605043,RPG,0
2024-08-08,PC,165700,16570,65.24057109539406,49470.61450391244,8151,38914.02727189688,65391.92729046226,Simulation,0
2024-02-02,Console,160848,16084,52.6442815605795,59999.27024033218,8110,93559.88315094146,42568.65884633156,FPS,2
2023-06-29,PC,154769,15476,38.7247146290749,61631.02228340352,7847,93478.4432220521,88599.31878367915,FPS,0
2019-07-13,PC,115477,11547,28.3585888878737,44861.85158281415,5780,75599.07973054044,22706.60000232703,FPS,0
2018-09-06,Mobile,106624,10662,44.89106049241703,44607.50886221079,5266,45849.74096097888,33537.74881305494,FPS,0
2024-06-11,PC,164792,16479,56.5563961772088,47967.50151894235,8205,42109.15640520511,54554.80111319807,FPS,0
2022-10-31,Console,148298,14829,50.50703243309162,38827.14360373481,7439,32904.42412594955,52927.3348759725,Adventure,0
2022-08-25,Mobile,146923,14692,56.88373599862462,48107.22344797201,7309,34691.90502205306,55450.30506960547,Adventure,0
2018-04-01,PC,102640,10264,62.11182483406027,49896.72184010337,5105,59805.80681708304,52900.68125570725,Adventure,0
2018-03-18,PC,102185,10218,40.68624484156459,33389.72734545847,5118,58453.44921695699,22022.04902436179,RPG,0
2019-10-19,VR,118312,11831,46.07894189717302,18350.79478707939,5889,38987.26810691593,11569.82927859949,RPG,0
2024-02-20,Mobile,161020,16102,71.57578516302927,53306.06446203668,8200,49461.12034965497,77261.16641088617,Action,0
2021-02-02,Mobile,130896,13089,57.66775827836238,54052.80694408245,6462,69119.18845625558,70714.34431249421,Action,0
2022-01-17,Console,140690,14069,49.14431504258015,33114.20435071635,7005,74398.36478246273,16862.94204292476,Action,0
2023-09-10,Mobile,156941,15694,31.44768085214358,42752.06829450597,7890,65705.68891161386,29783.92374983122,FPS,0
2020-02-15,PC,121168,12116,28.20520399670207,28176.26058314645,6020,29706.84602834618,19544.95607367075,RPG,0
2021-11-26,VR,139016,13901,61.35649476139051,14824.02386724206,6785,80707.26785867379,11573.55195411409,Action,2
2020-09-01,Console,126533,12653,36.77519624768751,22280.25565385219,6538,74767.89922225253,25137.97743930354,RPG,0
2021-09-22,PC,137691,13769,50.08798074507268,53313.04599523023,6917,69636.82966926153,48082.1390453138,Action,0
2023-06-06,Console,154237,15423,34.22282859487054,73182.4393645998,7784,88190.27736260518,86870.78124593435,Action,0
2018-06-05,Mobile,104965,10496,58.17836195572022,26686.23974184771,5191,54832.23728962243,16513.27848176442,Action,0
2022-12-14,VR,149489,14948,41.32936473592019,44922.48312039953,7475,82337.37641798753,48285.80684963096,Adventure,0
2019-09-17,Console,117419,11741,53.18563707661482,24190.01955003799,5935,54303.79001756552,29476.24203646396,Simulation,0
2018-06-28,Mobile,105147,10514,62.40213051002636,24565.49403190107,5300,70190.54151531679,30969.75952361041,RPG,0
2023-10-02,VR,156899,15689,54.22055002356114,52230.49073050176,7759,93339.7396832979,75000.40249527358,Simulation,0
2019-12-15,VR,120199,12019,64.47455250996786,35066.45998631027,6039,33934.60250887675,42399.15386488759,Action,0
2020-12-03,Mobile,128656,12865,52.16548348124009,26735.17097575009,6498,31947.75143739264,17267.73817606675,Action,0
2019-12-29,PC,119796,11979,36.93780320608967,25090.14062132196,5938,55049.54536361318,13169.79764743352,RPG,0
2023-07-14,PC,156002,15600,31.23613947640508,26365.24927852867,7811,107147.1575520967,36001.41097861525,Adventure,2
2021-02-03,PC,130951,13095,45.05034978127662,32343.61773514496,6626,90795.13315450799,18117.67007862182,Adventure,0
2018-11-12,Mobile,108494,10849,60.39693129244898,34590.80082187666,5404,56440.16254353686,21524.80929426689,RPG,0
2020-03-01,PC,121971,12197,47.92158517685444,23323.4415378633,6081,72534.3944048348,26868.25215813235,Action,0
2018-08-31,Console,106697,10669,42.70753707598146,40979.47632359754,5364,71291.45375907888,31713.69988136789,Simulation,2
2020-09-05,PC,127014,12701,49.7805300288089,26801.87625360511,6359,85224.3768463698,37223.76520056814,Action,0
2021-07-23,Console,136038,13603,55.3529153362497,36227.38818093443,6604,61525.72330342059,47739.54699904318,Action,3
2024-01-21,Console,159844,15984,43.97252127341508,44366.27997372768,8083,65115.64183208046,33134.92942049508,RPG,0
2018-03-06,VR,101798,10179,44.47242163839952,21143.22043145167,5073,33050.77333745117,28927.84023861156,FPS,0
2020-08-05,Console,126459,12645,64.80050695882456,25462.96182014129,6394,83948.00669138973,24605.08512998782,Simulation,0
2024-04-19,Console,163355,16335,40.49122533077474,56012.44154698811,8339,39629.2549496048,54064.28557116377,Adventure,1
2018-05-02,VR,103598,10359,44.85381549367219,41864.71006226178,5141,63344.92749308587,51441.66043710732,RPG,0
2023-05-31,VR,153546,15354,51.89587213645689,65012.10069587,7800,103902.1016883161,39853.76089303864,RPG,0
2018-05-10,Console,103529,10352,59.12375116583237,10853.88030783498,5066,41994.40707288326,11460.90946868061,Simulation,0
2023-09-17,Console,157110,15711,62.77509937754827,51320.33585149623,7767,83992.46714298772,59046.1178963454,Action,0
2018-03-19,VR,102110,10211,53.80037866659179,27370.79917864575,5192,38449.25561533839,23473.70243226497,Action,0
2020-03-18,VR,122669,12266,51.26524474024066,31050.3348132389,6070,27206.49753375945,42642.43608330457,RPG,0
2023-06-07,PC,154229,15422,37.7690663875419,48129.7414757006,7706,77764.44874929571,32164.42064867081,Simulation,0
2023-02-08,Mobile,151065,15106,53.96973131223066,54380.99452475413,7569,77746.52563565734,80905.01981658892,Action,0
2024-09-11,VR,166724,16672,42.97561413496549,26398.37662918533,8256,47277.16884539166,35419.23046746206,Simulation,0
2021-07-19,VR,134877,13487,53.68197933938955,51747.0602148823,6762,50963.28685601682,69736.62892802215,Action,0
2023-07-13,PC,155076,15507,35.47244772503853,24572.4092886704,7728,108493.262045701,25420.50378078693,Adventure,0
2022-06-14,Mobile,144621,14462,44.27239029120218,24225.87317331661,7394,73364.89283820678,20200.3988179168,RPG,0
2022-08-25,Console,146092,14609,32.74035291429176,60254.62216527082,7234,72493.34325141262,85731.56224761836,Action,0
2023-04-28,PC,152690,15269,61.68178358392144,21495.49121658094,7723,96510.14930135853,12503.23528914696,FPS,6
2019-11-16,Mobile,118443,11844,51.52241759748502,12039.12902691887,5955,82656.73060364473,6849.487247992138,Action,0
2023-05-15,Mobile,153324,15332,46.98718734285433,62969.73593538584,7687,65956.01446974816,92281.73816885518,Simulation,0
2022-04-15,Mobile,143358,14335,48.42387788032788,25017.90502253583,7140,72092.98683148908,19079.42878385604,Adventure,2
2023-08-14,Mobile,156460,15646,49.00013576910381,72933.04675645656,7873,92473.73173824078,70059.35960964457,Simulation,0
2018-11-08,VR,108834,10883,28.58535135001792,49457.08721410443,5307,24410.92553896361,47031.13237172662,Simulation,0
2024-05-22,VR,163572,16357,70.66782131425774,35170.48438729432,8153,41163.7829806661,18571.42061235772,Adventure,0
2020-11-14,Console,128139,12813,50.54852031868833,18399.57150782222,6418,67297.83530608364,16326.92321828535,RPG,0
2023-06-24,PC,155019,15501,39.95732744345489,55448.17568157645,7714,52219.16688408894,55702.03387222977,Adventure,0
2023-01-19,Mobile,150704,15070,52.33991695713036,32409.72269053033,7429,84636.51019830623,30562.02163942434,Simulation,0
2020-05-08,Console,123495,12349,49.71815704108855,45344.56859914112,6193,45783.38505794486,58749.09923456312,RPG,3
2021-09-07,Mobile,136559,13655,57.83342185507727,35343.2669122388,6875,45311.52500567245,31683.22440630493,RPG,0
2018-08-28,Console,106742,10674,35.74719755043009,24352.51488812029,5251,39081.59603848576,29777.77010019916,Action,0
2018-04-15,PC,103129,10312,47.29273404781578,46743.48405262022,5172,27559.37567206885,31816.5983688736,RPG,0
2021-12-06,Mobile,138858,13885,47.81105359827616,43968.28418386036,6996,90997.31526715292,39249.50843766169,Simulation,0
2022-08-09,VR,145621,14562,61.48874434808172,19601.68868718204,7412,57237.76909662326,24451.00942808536,Simulation,0
2020-12-31,Mobile,130087,13008,58.95267902194403,56941.37929073953,6613,62916.1024469855,30258.85393401853,RPG,0
2021-07-23,PC,135384,13538,58.3418860179379,52637.42915578235,6689,60536.37580887882,42934.62744966095,FPS,0
2018-10-06,PC,107852,10785,46.20004831442461,45276.14702472031,5538,70047.64664329219,65103.7533039994,Simulation,0
2019-11-04,PC,118305,11830,74.8048248637793,57988.81868801687,5828,80232.19935946961,72289.14149043903,Simulation,0
2022-06-07,PC,144087,14408,28.89273739509667,71950.79135333,7135,73673.64599248473,42925.76385375239,FPS,0
2024-01-14,VR,160107,16010,34.7296974357143,70235.53871620307,8091,71343.53663789658,61641.80138305821,FPS,0
